location_id,product_id,kpi_date,revenue,units_sold,avg_price,gross_margin_pct,units_per_day
1,23,2026-02-15,626.53,15,41.77,25.5,15
1,23,2026-02-16,222.72,5,44.54,43.97,5
1,23,2026-02-17,576.64,17,33.92,28.82,17
1,23,2026-02-18,414.63,20,20.73,36.59,20
1,23,2026-02-19,229.61,9,25.51,40.15,9
1,23,2026-02-20,64.67,4,16.17,36.73,4
1,23,2026-02-21,145.38,8,18.17,25.32,8
1,23,2026-02-22,462.95,11,42.09,37.29,11
1,23,2026-02-23,519.22,10,51.92,49.26,10
1,23,2026-02-24,219.32,7,31.33,41.03,7
1,23,2026-02-25,380.29,14,27.16,25.97,14
1,23,2026-02-26,414.86,16,25.93,39.14,16
1,23,2026-02-27,142.49,5,28.5,31.38,5
1,23,2026-02-28,738.74,18,41.04,37.74,18
1,23,2026-03-01,391.81,10,39.18,42.41,10
1,23,2026-03-02,309.12,6,51.52,43.39,6
1,23,2026-03-03,160.38,14,11.46,45.33,14
1,23,2026-03-04,382.0,10,38.2,42.44,10
1,23,2026-03-05,344.07,16,21.5,36.39,16
1,23,2026-03-06,416.71,20,20.84,40.05,20
1,23,2026-03-07,540.25,12,45.02,25.31,12
1,23,2026-03-08,607.12,16,37.94,47.92,16
1,23,2026-03-09,211.47,6,35.25,47.52,6
1,23,2026-03-10,363.82,20,18.19,35.57,20
1,23,2026-03-11,473.7,23,20.6,32.56,23
1,23,2026-03-12,466.32,12,38.86,34.57,12
1,23,2026-03-13,168.46,6,28.08,46.91,6
1,23,2026-03-14,572.8,42,13.64,40.9,42
1,23,2026-03-15,616.81,25,24.67,28.57,25
1,23,2026-03-16,325.71,6,54.28,34.95,6
1,23,2026-03-17,197.71,3,65.9,45.41,3
1,1,2026-02-15,106.27,8,13.28,42.41,8
1,1,2026-02-16,597.83,16,37.36,43.33,16
1,1,2026-02-17,258.75,10,25.87,42.6,10
1,1,2026-02-18,271.66,15,18.11,48.71,15
1,1,2026-02-19,482.19,11,43.84,29.64,11
1,1,2026-02-20,114.26,6,19.04,43.98,6
1,1,2026-02-21,352.62,7,50.37,35.22,7
1,1,2026-02-22,1011.95,28,36.14,46.71,28
1,1,2026-02-23,206.74,9,22.97,34.44,9
1,1,2026-02-24,342.32,14,24.45,39.64,14
1,1,2026-02-25,564.3,15,37.62,27.52,15
1,1,2026-02-26,116.94,2,58.47,25.18,2
1,1,2026-02-27,623.02,12,51.92,27.42,12
1,1,2026-02-28,829.04,80,10.36,40.07,80
1,1,2026-03-01,1361.69,33,41.26,48.3,33
1,1,2026-03-02,498.08,21,23.72,35.74,21
1,1,2026-03-03,441.14,9,49.02,49.99,9
1,1,2026-03-04,1000.39,20,50.02,41.63,20
1,1,2026-03-05,437.6,35,12.5,33.9,35
1,1,2026-03-06,492.13,35,14.06,36.42,35
1,1,2026-03-07,882.77,22,40.13,47.2,22
1,1,2026-03-08,314.14,9,34.9,46.73,9
1,1,2026-03-09,333.61,8,41.7,45.38,8
1,1,2026-03-10,457.09,13,35.16,41.47,13
1,1,2026-03-11,560.78,21,26.7,29.7,21
1,1,2026-03-12,952.46,19,50.13,45.32,19
1,1,2026-03-13,85.74,3,28.58,26.14,3
1,1,2026-03-14,1207.07,52,23.21,36.11,52
1,1,2026-03-15,835.78,32,26.12,40.31,32
1,1,2026-03-16,131.35,4,32.84,48.29,4
